ID,name,address,category,location,Lat,Lng
185,A AND P LIQUOR MARKET,3259 N CEDAR AVE,Liquor Store,"3259 N CEDAR AVE, Fresno, CA",36.780906,-119.7558219
186,A1 LIQUORS,3147 N MAROA AVE,Liquor Store,"3147 N MAROA AVE, Fresno, CA",36.7792583,-119.8002916
187,ACE LIQUOR,4710 E KINGS CANYON RD,Liquor Store,"4710 E KINGS CANYON RD, Fresno, CA",36.735674,-119.7405454
188,ANDRES LIQUOR,3953 N BLACKSTONE AVE,Liquor Store,"3953 N BLACKSTONE AVE, Fresno, CA",36.7896792,-119.7909965
189,BELMONT U-SAVE LIQUOR,3639 E BELMONT AVE,Liquor Store,"3639 E BELMONT AVE, Fresno, CA",36.7508883,-119.7637564
190,BEVERAGES & MORE INC,7639 N BLACKSTONE AVE,Liquor Store,"7639 N BLACKSTONE AVE, Fresno, CA",36.846531,-119.7916472
191,BISHOP LIQUOR,4182 N 1ST ST STE 101,Liquor Store,"4182 N 1ST ST STE 101, Fresno, CA",36.7937083,-119.7709565
192,BOSS FOOD & LIQUOR,3348 E BUTLER AVE,Liquor Store,"3348 E BUTLER AVE, Fresno, CA",36.7285534,-119.7679636
193,BROADWAY LIQUOR,102 N BROADWAY ST,Liquor Store,"102 N BROADWAY ST, Fresno, CA",36.7442307,-119.8026508
194,BROADWAY LIQUOR MART,3610 W SHAW AVE,Liquor Store,"3610 W SHAW AVE, Fresno, CA",36.8098734,-119.8588293
195,BUBBAS FOOD & LIQUOR,3281 E SHIELDS AVE,Liquor Store,"3281 E SHIELDS AVE, Fresno, CA",36.7801471,-119.7692933
196,BULLDOG LIQUOR,4968 N CEDAR AVE,Liquor Store,"4968 N CEDAR AVE, Fresno, CA",36.8080671,-119.7534999
197,BULLDOG LIQUOR #2,420 E SHAW AVE,Liquor Store,"420 E SHAW AVE, Fresno, CA",36.8089748,-119.7809419
198,BUY RITE LIQUORS,3706 W SHIELDS AVE,Liquor Store,"3706 W SHIELDS AVE, Fresno, CA",36.7795122,-119.859831
199,CHILL 'N GO,4302 E KINGS CANYON RD,Liquor Store,"4302 E KINGS CANYON RD, Fresno, CA",36.73565,-119.7532582
200,DAN'S LIQUOR,4005 N MARKS AVE,Liquor Store,"4005 N MARKS AVE, Fresno, CA",36.7945068,-119.8452625
201,DIDIERS LIQUOR,4778 E OLIVE AVE,Liquor Store,"4778 E OLIVE AVE, Fresno, CA",36.7574055,-119.7373783
202,DISCOUNT LIQUOR & FOOD,3021 W ASHLAN AVE,Liquor Store,"3021 W ASHLAN AVE, Fresno, CA",36.793342,-119.8449509
203,ELITE BEVERAGES,5191 E BELMONT AVE,Liquor Store,"5191 E BELMONT AVE, Fresno, CA",36.7508671,-119.7187364
204,ELITE LIQUORS #2,7089 N MARKS AVE,Liquor Store,"7089 N MARKS AVE, Fresno, CA",36.8391021,-119.8486578
205,FAIR PRICE LIQUOR,5627 E KINGS CANYON RD STE 111,Liquor Store,"5627 E KINGS CANYON RD STE 111, Fresno, CA",36.7367854,-119.6984862
206,FAMILY EXPRESS FOOD & LIQUOR,1102 FRESNO ST,Liquor Store,"1102 FRESNO ST, Fresno, CA",36.7296286,-119.8005705
207,FASTRIP # 357 (CONVENIENCE STORE),4798 E CLINTON AVE,Liquor Store,"4798 E CLINTON AVE, Fresno, CA",36.7718576,-119.736858
208,FASTRIP # 703 (CONVENIENCE STORE),3793 N HUGHES AVE,Liquor Store,"3793 N HUGHES AVE, Fresno, CA",36.7860352,-119.8359989
209,FIG TREE LIQUOR,1731 W BULLARD AVE STE 102,Liquor Store,"1731 W BULLARD AVE STE 102, Fresno, CA",36.8220516,-119.8258394
210,G & G LIQUOR,1306 W SHIELDS AVE,Liquor Store,"1306 W SHIELDS AVE, Fresno, CA",36.7797011,-119.8269479
211,H AND H LIQUOR STORE,2618 E ASHLAN AVE,Liquor Store,"2618 E ASHLAN AVE, Fresno, CA",36.7933409,-119.7806524
212,HANDI STOP LIQUOR #4,5185 E KINGS CANYON RD,Liquor Store,"5185 E KINGS CANYON RD, Fresno, CA",36.7365046,-119.7189099
213,HAPPY LIQUOR & FOOD,5816 E SHIELDS AVE STE 101,Liquor Store,"5816 E SHIELDS AVE STE 101, Fresno, CA",36.7789084,-119.6908819
214,HAPPY LIQUOR STORE,1010 F ST,Liquor Store,"1010 F ST, Fresno, CA",36.730779,-119.79493
215,HARRY'S LIQUOR 2,4564 N 1ST ST,Liquor Store,"4564 N 1ST ST, Fresno, CA",36.7998552,-119.772204
216,HIGHWAY LIQUOR,5495 W SHAW AVE,Liquor Store,"5495 W SHAW AVE, Fresno, CA",36.8078367,-119.8892514
217,J K LIQUORS,2930 E NEES AVE STE 101,Liquor Store,"2930 E NEES AVE STE 101, Fresno, CA",36.8531384,-119.7316896
218,KAY'S LIQUOR,3475 E BELMONT AVE,Liquor Store,"3475 E BELMONT AVE, Fresno, CA",36.7507873,-119.7660151
219,KEVIN & ALEX LIQUOR & DELI,4233 E SHIELDS AVE,Liquor Store,"4233 E SHIELDS AVE, Fresno, CA",36.7801656,-119.7537271
220,KKK 3369 LLC,3369 W SHAW AVE,Liquor Store,"3369 W SHAW AVE, Fresno, CA",36.8076832,-119.8531451
221,LATINO LIQUOR,3331 E BUTLER AVE,Liquor Store,"3331 E BUTLER AVE, Fresno, CA",36.7288864,-119.7687179
222,LIQUOR BANK,4008 W MCKINLEY AVE,Liquor Store,"4008 W MCKINLEY AVE, Fresno, CA",36.7649322,-119.8626651
223,LIQUOR JUNCTION,5092 W SHAW AVE,Liquor Store,"5092 W SHAW AVE, Fresno, CA",36.8086175,-119.8827406
224,LIQUOR KING,6751 N BLACKSTONE AVE,Liquor Store,"6751 N BLACKSTONE AVE, Fresno, CA",36.8362539,-119.7912314
225,LIQUOR KING 2,2450 N BRAWLEY AVE STE 107,Liquor Store,"2450 N BRAWLEY AVE STE 107, Fresno, CA",36.7731668,-119.8616944
226,LIQUOR ZONE,1452 W ASHLAN AVE,Liquor Store,"1452 W ASHLAN AVE, Fresno, CA",36.7943435,-119.8276337
227,MANN'S LIQUOR #3,6023 N FIGARDEN DR,Liquor Store,"6023 N FIGARDEN DR, Fresno, CA",36.8229145,-119.870551
228,MGA LIGUOR & DELI/SRAI ENTERPRISES,6026 N FIGARDEN DR,Liquor Store,"6026 N FIGARDEN DR, Fresno, CA",36.8232684,-119.8704021
229,MGA LIQUOR #4,6127 E KINGS CANYON RD,Liquor Store,"6127 E KINGS CANYON RD, Fresno, CA",36.7366652,-119.680026
230,MGA LIQUOR #9,2707 N BLACKSTONE AVE,Liquor Store,"2707 N BLACKSTONE AVE, Fresno, CA",36.7752153,-119.7910377
231,MGA LIQUOR 2,468 E BULLARD AVE STE 105,Liquor Store,"468 E BULLARD AVE STE 105, Fresno, CA",36.8233946,-119.7796529
232,MGA LIQUOR 3,471 N EFFIE ST,Liquor Store,"471 N EFFIE ST, Fresno, CA",36.7501155,-119.7886987
233,MIKE'S LIQUOR,1544 N PALM AVE,Liquor Store,"1544 N PALM AVE, Fresno, CA",36.7640059,-119.808394
234,MR T'S LIQUOR,322 E BULLARD AVE,Liquor Store,"322 E BULLARD AVE, Fresno, CA",36.8232205,-119.7833617
235,OLD DOCS FOOD & LIQUOR,3021 W BULLARD AVE,Liquor Store,"3021 W BULLARD AVE, Fresno, CA",36.8222598,-119.8452681
236,OTT & POT'S LIQUOR,435 S CLOVIS AVE # 101,Liquor Store,"435 S CLOVIS AVE # 101, Fresno, CA",36.7392594,-119.6995564
