number,purity,price,month,label
1,85.8,98,Feb-11,"2011-01 to 2011-03"
2,87.5,88,May-11,"2011-04 to 2011-06"
3,85.7,95,Aug-11,"2011-07 to 2011-09"
4,85.7,81,Nov-11,"2011-10 to 2011-12"
5,88,80,Feb-12,"2012-01 to 2012-03"
6,89.2,73,May-12,"2012-04 to 2012-06"
7,90.6,81,Aug-12,"2012-07 to 2012-09"
8,88.5,81,Nov-12,"2012-10 to 2012-12"
9,91,68,Feb-13,"2013-01 to 2013-03"
10,93.2,66,May-13,"2013-04 to 2013-06"
11,92.9,65,Aug-13,"2013-07 to 2013-09"
12,94.2,66,Nov-13,"2013-10 to 2013-12"
13,94.7,61,Feb-14,"2014-01 to 2014-03"
14,93.5,66,May-14,"2014-04 to 2014-06"
15,93.2,60,Aug-14,"2014-07 to 2014-09"
16,92.4,69,Nov-14,"2014-10 to 2014-12"
17,93.2,63,Feb-15,"2015-01 to 2015-03"
18,92.5,60,May-15,"2015-04 to 2015-06"
19,91.9,66,Aug-15,"2015-07 to 2015-09"
20,93.6,60,Nov-15,"2015-10 to 2015-12"
21,94.2,59,Feb-16,"2016-01 to 2016-03"
22,94.1,53,May-16,"2016-04 to 2016-06"
23,93.5,58,Aug-16,"2016-07 to 2016-09"
