ID,name,address,category,location,Lat,Lng
001,E & M AGUATES DISTRIBUCION,3532 E WASHINGTON AVE,Fruit/Produce Market,"3532 E WASHINGTON AVE, Fresno, CA",36.7474847,-119.7651494
002,1 EXPRESS SMOG / EXPRESS MARKET,2626 N BLACKSTONE AVE,Grocery Market,"2626 N BLACKSTONE AVE, Fresno, CA",36.7746558,-119.7902364
003,7 ELEVEN #2368-35615A,2630 TULARE ST,Grocery Market,"2630 TULARE ST, Fresno, CA",36.7382393,-119.7835426
004,7 ELEVEN #2368-35665A,2414 N FRUIT AVE,Grocery Market,"2414 N FRUIT AVE, Fresno, CA",36.7723975,-119.8171893
005,7 ELEVEN STORE #2368-36435C,470 N CHESTNUT AVE,Grocery Market,"470 N CHESTNUT AVE, Fresno, CA",36.7501036,-119.7357721
006,7 ELEVEN STORE 16970C /2368,2397 S CHESTNUT AVE,Grocery Market,"2397 S CHESTNUT AVE, Fresno, CA",36.7144415,-119.7360436
007,7 ELEVEN STORE 2368-13913C,5758 N PALM AVE,Grocery Market,"5758 N PALM AVE, Fresno, CA",36.822263,-119.8077804
008,7-ELEVEN #16947B - 2368,2389 E SHAW AVE,Grocery Market,"2389 E SHAW AVE, Fresno, CA",36.8080696,-119.7456337
009,7-ELEVEN #17096B / 2368,469 N CLOVIS AVE,Grocery Market,"469 N CLOVIS AVE, Fresno, CA",36.7497607,-119.700771
010,7-ELEVEN #19198T / 2368,1596 N PALM AVE,Grocery Market,"1596 N PALM AVE, Fresno, CA",36.7645828,-119.8081727
011,7-ELEVEN 2368-25141C,6015 N BLACKSTONE AVE,Grocery Market,"6015 N BLACKSTONE AVE, Fresno, CA",36.8232238,-119.7908281
012,7-ELEVEN STORE #2368-32625A,6875 N MILBURN AVE,Grocery Market,"6875 N MILBURN AVE, Fresno, CA",36.8366328,-119.8795572
013,7-ELEVEN STORE 2237-13926D,1629 E ASHLAN AVE,Grocery Market,"1629 E ASHLAN AVE, Fresno, CA",36.794465,-119.7913685
014,7-ELEVEN STORE 2368-18872D,1784 W SHAW AVE,Grocery Market,"1784 W SHAW AVE, Fresno, CA",36.808679,-119.8259424
015,A & M WESTSIDE MARKET,10 E WHITES BRIDGE AVE,Grocery Market,"10 E WHITES BRIDGE AVE, Fresno, CA",36.735597,-119.81269
016,A & P MARKET,4903 E KINGS CANYON RD STE 102,Grocery Market,"4903 E KINGS CANYON RD STE 102, Fresno, CA",36.7374234,-119.7316559
017,A C MART & DELI INC,3080 E OLIVE AVE,Grocery Market,"3080 E OLIVE AVE, Fresno, CA",36.757365,-119.7728455
018,AGEARE FRESH,935 N BLACKSTONE AVE,Grocery Market,"935 N BLACKSTONE AVE, Fresno, CA",36.7548553,-119.7907641
019,AM MARKET,1505 E BELMONT AVE,Grocery Market,"1505 E BELMONT AVE, Fresno, CA",36.7506612,-119.7925882
020,AMIGO MINI MART,1720 S ORANGE AVE,Grocery Market,"1720 S ORANGE AVE, Fresno, CA",36.7255384,-119.7639343
021,AMIGOS FOOD MARKET,4220 E CHURCH AVE,Grocery Market,"4220 E CHURCH AVE, Fresno, CA",36.7137648,-119.7540951
022,AP MARKET,3645 E OLIVE AVE,Grocery Market,"3645 E OLIVE AVE, Fresno, CA",36.7580699,-119.7638516
023,ASIA SUPERMARKET,4818 E TULARE AVE,Grocery Market,"4818 E TULARE AVE, Fresno, CA",36.7426338,-119.7356276
024,ASIAN ONE GROCERY,4470 W ASHLAN AVE,Grocery Market,"4470 W ASHLAN AVE, Fresno, CA",36.7938776,-119.8728676
025,BABY SHOP #1,4995 E KINGS CANYON RD STE 102,Grocery Market,"4995 E KINGS CANYON RD STE 102, Fresno, CA",36.7361053,-119.7277409
026,BABY SHOP #2,4739 W SHAW AVE # 106,Grocery Market,"4739 W SHAW AVE # 106, Fresno, CA",36.8076365,-119.8779496
027,BABY SHOP #4,3263 E SHIELDS AVE,Grocery Market,"3263 E SHIELDS AVE, Fresno, CA",36.7796156,-119.7697693
028,BABY SHOP #7,1551 E SHAW AVE STE 124,Grocery Market,"1551 E SHAW AVE STE 124, Fresno, CA",36.8081583,-119.7600666
029,BARGAIN CITY,4763 E KINGS CANYON RD,Grocery Market,"4763 E KINGS CANYON RD, Fresno, CA",36.7362088,-119.7382123
030,BELLANOMI,1153 F ST,Grocery Market,"1153 F ST, Fresno, CA",36.7321336,-119.797043
031,BELMONT MARKET,4492 E BELMONT AVE,Grocery Market,"4492 E BELMONT AVE, Fresno, CA",36.7502403,-119.7501231
032,BEST PRICE FOOD STORE,3405 N CEDAR AVE,Grocery Market,"3405 N CEDAR AVE, Fresno, CA",36.7816063,-119.7547172
033,BOND MARKET,755 N BOND ST,Grocery Market,"755 N BOND ST, Fresno, CA",36.75356,-119.7682316
